Study the impact of the number of UF on blowfish with out-of-order execution
SIZE;N_UF;nb_cycles;CPI
small;1;2509654;0.9987
small;2;1356373;0.5398
small;4;1087602;0.4328
small;8;1087602;0.4328
medium;1;4791702;0.9951
medium;2;2578115;0.5354
medium;4;2054294;0.4266
medium;8;2054294;0.4266
large;1;9346677;0.9922
large;2;5010017;0.5319
large;4;3976105;0.4221
large;8;3976105;0.4221
