Study the impact of the number of UF on pagerank with in-order execution
SIZE;N_UF;nb_cycles;CPI
min;1;178290;1.8268
min;2;166802;1.7091
min;4;162918;1.6693
min;8;162918;1.6693
med;1;332591;1.6874
med;2;311821;1.5821
med;4;304933;1.5471
med;8;304933;1.5471
max;1;2113302;1.5759
max;2;1964834;1.4652
max;4;1915760;1.4286
max;8;1915760;1.4286
